STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,unit,Unit of measure,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:ROAD_EQS_CARHAB(1.0),Passenger cars - per thousand inhabitants,A,Annual,NR,Number,AL,Albania,2000,,38,,,,,
dataflow,ESTAT:ROAD_EQS_CARHAB(1.0),Passenger cars - per thousand inhabitants,A,Annual,NR,Number,AL,Albania,2001,,44,,,,,
dataflow,ESTAT:ROAD_EQS_CARHAB(1.0),Passenger cars - per thousand inhabitants,A,Annual,NR,Number,AL,Albania,2002,,49,,,,,
dataflow,ESTAT:ROAD_EQS_CARHAB(1.0),Passenger cars - per thousand inhabitants,A,Annual,NR,Number,AL,Albania,2013,,118,,,,,
dataflow,ESTAT:ROAD_EQS_CARHAB(1.0),Passenger cars - per thousand inhabitants,A,Annual,NR,Number,AL,Albania,2014,,131,,,,,
dataflow,ESTAT:ROAD_EQS_CARHAB(1.0),Passenger cars - per thousand inhabitants,A,Annual,NR,Number,AL,Albania,2015,,140,,,,,
dataflow,ESTAT:ROAD_EQS_CARHAB(1.0),Passenger cars - per thousand inhabitants,A,Annual,NR,Number,AL,Albania,2016,,151,,,,,
dataflow,ESTAT:ROAD_EQS_CARHAB(1.0),Passenger cars - per thousand inhabitants,A,Annual,NR,Number,AL,Albania,2017,,145,,,,,
dataflow,ESTAT:ROAD_EQS_CARHAB(1.0),Passenger cars - per thousand inhabitants,A,Annual,NR,Number,AL,Albania,2018,,161,,,,,
dataflow,ESTAT:ROAD_EQS_CARHAB(1.0),Passenger cars - per thousand inhabitants,A,Annual,NR,Number,AL,Albania,2019,,176,,,,,
dataflow,ESTAT:ROAD_EQS_CARHAB(1.0),Passenger cars - per thousand inhabitants,A,Annual,NR,Number,AL,Albania,2020,,191,,,,,
dataflow,ESTAT:ROAD_EQS_CARHAB(1.0),Passenger cars - per thousand inhabitants,A,Annual,NR,Number,AL,Albania,2021,,212,,,,,
dataflow,ESTAT:ROAD_EQS_CARHAB(1.0),Passenger cars - per thousand inhabitants,A,Annual,NR,Number,AL,Albania,2022,,232,,,,,
dataflow,ESTAT:ROAD_EQS_CARHAB(1.0),Passenger cars - per thousand inhabitants,A,Annual,NR,Number,AL,Albania,2023,,292,,,,,
dataflow,ESTAT:ROAD_EQS_CARHAB(1.0),Passenger cars - per thousand inhabitants,A,Annual,NR,Number,AL,Albania,2024,,328,,,,,
dataflow,ESTAT:ROAD_EQS_CARHAB(1.0),Passenger cars - per thousand inhabitants,A,Annual,NR,Number,AT,Austria,1990,,388,,,,,
dataflow,ESTAT:ROAD_EQS_CARHAB(1.0),Passenger cars - per thousand inhabitants,A,Annual,NR,Number,AT,Austria,1991,,397,,,,,
dataflow,ESTAT:ROAD_EQS_CARHAB(1.0),Passenger cars - per thousand inhabitants,A,Annual,NR,Number,AT,Austria,1992,,412,,,,,
dataflow,ESTAT:ROAD_EQS_CARHAB(1.0),Passenger cars - per thousand inhabitants,A,Annual,NR,Number,AT,Austria,1993,,425,,,,,
dataflow,ESTAT:ROAD_EQS_CARHAB(1.0),Passenger cars - per thousand inhabitants,A,Annual,NR,Number,AT,Austria,1994,,438,,,,,
dataflow,ESTAT:ROAD_EQS_CARHAB(1.0),Passenger cars - per thousand inhabitants,A,Annual,NR,Number,AT,Austria,1995,,452,,,,,
dataflow,ESTAT:ROAD_EQS_CARHAB(1.0),Passenger cars - per thousand inhabitants,A,Annual,NR,Number,AT,Austria,1996,,463,,,,,
dataflow,ESTAT:ROAD_EQS_CARHAB(1.0),Passenger cars - per thousand inhabitants,A,Annual,NR,Number,AT,Austria,1997,,475,,,,,
dataflow,ESTAT:ROAD_EQS_CARHAB(1.0),Passenger cars - per thousand inhabitants,A,Annual,NR,Number,AT,Austria,1998,,487,,,,,
dataflow,ESTAT:ROAD_EQS_CARHAB(1.0),Passenger cars - per thousand inhabitants,A,Annual,NR,Number,AT,Austria,1999,,501,,,,,
dataflow,ESTAT:ROAD_EQS_CARHAB(1.0),Passenger cars - per thousand inhabitants,A,Annual,NR,Number,AT,Austria,2000,,511,,,,,
dataflow,ESTAT:ROAD_EQS_CARHAB(1.0),Passenger cars - per thousand inhabitants,A,Annual,NR,Number,AT,Austria,2001,,519,,,,,
dataflow,ESTAT:ROAD_EQS_CARHAB(1.0),Passenger cars - per thousand inhabitants,A,Annual,NR,Number,AT,Austria,2002,,492,,b,break in time series,,
dataflow,ESTAT:ROAD_EQS_CARHAB(1.0),Passenger cars - per thousand inhabitants,A,Annual,NR,Number,AT,Austria,2003,,498,,,,,
dataflow,ESTAT:ROAD_EQS_CARHAB(1.0),Passenger cars - per thousand inhabitants,A,Annual,NR,Number,AT,Austria,2004,,501,,,,,
dataflow,ESTAT:ROAD_EQS_CARHAB(1.0),Passenger cars - per thousand inhabitants,A,Annual,NR,Number,AT,Austria,2005,,504,,,,,
dataflow,ESTAT:ROAD_EQS_CARHAB(1.0),Passenger cars - per thousand inhabitants,A,Annual,NR,Number,AT,Austria,2006,,508,,,,,
dataflow,ESTAT:ROAD_EQS_CARHAB(1.0),Passenger cars - per thousand inhabitants,A,Annual,NR,Number,AT,Austria,2007,,511,,,,,
dataflow,ESTAT:ROAD_EQS_CARHAB(1.0),Passenger cars - per thousand inhabitants,A,Annual,NR,Number,AT,Austria,2008,,514,,,,,
dataflow,ESTAT:ROAD_EQS_CARHAB(1.0),Passenger cars - per thousand inhabitants,A,Annual,NR,Number,AT,Austria,2009,,522,,,,,
dataflow,ESTAT:ROAD_EQS_CARHAB(1.0),Passenger cars - per thousand inhabitants,A,Annual,NR,Number,AT,Austria,2010,,530,,,,,
dataflow,ESTAT:ROAD_EQS_CARHAB(1.0),Passenger cars - per thousand inhabitants,A,Annual,NR,Number,AT,Austria,2011,,537,,,,,
dataflow,ESTAT:ROAD_EQS_CARHAB(1.0),Passenger cars - per thousand inhabitants,A,Annual,NR,Number,AT,Austria,2012,,542,,,,,
dataflow,ESTAT:ROAD_EQS_CARHAB(1.0),Passenger cars - per thousand inhabitants,A,Annual,NR,Number,AT,Austria,2013,,546,,,,,
dataflow,ESTAT:ROAD_EQS_CARHAB(1.0),Passenger cars - per thousand inhabitants,A,Annual,NR,Number,AT,Austria,2014,,547,,,,,
dataflow,ESTAT:ROAD_EQS_CARHAB(1.0),Passenger cars - per thousand inhabitants,A,Annual,NR,Number,AT,Austria,2015,,546,,,,,
dataflow,ESTAT:ROAD_EQS_CARHAB(1.0),Passenger cars - per thousand inhabitants,A,Annual,NR,Number,AT,Austria,2016,,550,,,,,
dataflow,ESTAT:ROAD_EQS_CARHAB(1.0),Passenger cars - per thousand inhabitants,A,Annual,NR,Number,AT,Austria,2017,,555,,,,,
dataflow,ESTAT:ROAD_EQS_CARHAB(1.0),Passenger cars - per thousand inhabitants,A,Annual,NR,Number,AT,Austria,2018,,562,,,,,
dataflow,ESTAT:ROAD_EQS_CARHAB(1.0),Passenger cars - per thousand inhabitants,A,Annual,NR,Number,AT,Austria,2019,,566,,,,,
dataflow,ESTAT:ROAD_EQS_CARHAB(1.0),Passenger cars - per thousand inhabitants,A,Annual,NR,Number,AT,Austria,2020,,570,,,,,
dataflow,ESTAT:ROAD_EQS_CARHAB(1.0),Passenger cars - per thousand inhabitants,A,Annual,NR,Number,AT,Austria,2021,,572,,,,,
dataflow,ESTAT:ROAD_EQS_CARHAB(1.0),Passenger cars - per thousand inhabitants,A,Annual,NR,Number,AT,Austria,2022,,566,,,,,
dataflow,ESTAT:ROAD_EQS_CARHAB(1.0),Passenger cars - per thousand inhabitants,A,Annual,NR,Number,AT,Austria,2023,,566,,,,,
dataflow,ESTAT:ROAD_EQS_CARHAB(1.0),Passenger cars - per thousand inhabitants,A,Annual,NR,Number,AT,Austria,2024,,569,,,,,
dataflow,ESTAT:ROAD_EQS_CARHAB(1.0),Passenger cars - per thousand inhabitants,A,Annual,NR,Number,BA,Bosnia and Herzegovina,2010,,189,,,,,
dataflow,ESTAT:ROAD_EQS_CARHAB(1.0),Passenger cars - per thousand inhabitants,A,Annual,NR,Number,BA,Bosnia and Herzegovina,2011,,192,,,,,
dataflow,ESTAT:ROAD_EQS_CARHAB(1.0),Passenger cars - per thousand inhabitants,A,Annual,NR,Number,BA,Bosnia and Herzegovina,2012,,196,,i,value imputed by Eurostat or other receiving agencies,,
dataflow,ESTAT:ROAD_EQS_CARHAB(1.0),Passenger cars - per thousand inhabitants,A,Annual,NR,Number,BA,Bosnia and Herzegovina,2013,,202,,,,,
dataflow,ESTAT:ROAD_EQS_CARHAB(1.0),Passenger cars - per thousand inhabitants,A,Annual,NR,Number,BA,Bosnia and Herzegovina,2014,,209,,,,,
dataflow,ESTAT:ROAD_EQS_CARHAB(1.0),Passenger cars - per thousand inhabitants,A,Annual,NR,Number,BA,Bosnia and Herzegovina,2015,,235,,,,,
dataflow,ESTAT:ROAD_EQS_CARHAB(1.0),Passenger cars - per thousand inhabitants,A,Annual,NR,Number,BA,Bosnia and Herzegovina,2016,,245,,,,,
